Date,AAPL,AMZN,EBAY,SPY,AMAT,NVDA,GOOG,QCOM,MU,JNPR,MSFT,FFIV,WDC,ACN,IBM,TER,INFY,SNE,CTSH,DATA
2010-03-10,21.743841,130.509995,10.757576,97.735649,10.632014,16.308918,286.362488,32.131607,9.87,28.786337,23.650082,62.669998,33.317986,35.044075,101.973839,10.452442999999999,12.492459,37.650002,25.241577,
2010-03-11,21.807673,133.580002,10.70707,98.14370699999999,10.53019,15.938051999999999,288.69232200000005,32.313419,9.8,28.852642,23.821514,63.740002000000004,34.009373,34.994083,103.581131,10.231683,12.52588,38.169998,25.340935,
2010-03-12,21.914049,131.820007,10.930135,98.152222,10.487762,15.993682000000002,287.897491,32.189457,9.97,28.360081,23.894989000000002,63.099998,33.589283,35.094063,103.857132,10.068512,12.348338,37.34,25.23661,
2010-03-15,21.647135000000002,131.130005,11.060606,98.177711,10.377456,15.910235,279.770355,32.123337,9.73,28.483221,23.911312,63.07,33.475506,35.410683,103.767838,9.780567999999999,12.429799000000001,37.610001000000004,25.26145,
2010-03-16,21.706129,131.78999299999998,11.275252,98.959808,10.564131,16.466539,280.77383399999997,32.239044,10.21,28.795809000000002,23.976627,62.509997999999996,33.764324,34.994083,104.449722,10.193291,12.557211,37.57,25.46513,
2010-03-17,21.674215,131.33999599999999,11.355219,99.546356,10.742321,16.781776,280.952667,32.148132000000004,10.4,29.070504999999997,24.188873,64.599998,34.271919,35.194061,103.71100600000001,10.481236,12.770256,37.799999,25.643972,
2010-03-18,21.725468,132.759995,11.55724,99.495384,10.716864999999999,16.188385,281.369965,33.412571,10.16,28.653723,24.17255,64.309998,34.140652,35.227379,104.21431,10.375657,12.901844,38.360001000000004,25.748299,
2010-03-19,21.493372,130.350006,11.443603,98.991745,10.598073,15.993682000000002,278.190643,33.098534,9.95,28.312721000000003,24.156223,61.75,33.379242,35.044075,103.670448,10.231683,12.678352,38.639998999999996,25.460163,
2010-03-22,21.735138,130.470001,11.393098,99.520966,10.844142,16.253288,276.94872999999995,33.288601,10.33,28.549526,24.164385,62.779999,35.567184000000005,35.352352,103.88961,10.663601,12.864247,38.84,25.768169,
2010-03-23,22.084255,129.259995,11.38468,100.220947,11.234466000000001,16.587072,272.72616600000003,33.486946,10.54,29.250479,24.392967000000002,63.599998,36.774944,35.327358000000004,105.01796000000002,11.018736,13.01672,40.439999,26.091078,
2010-03-24,22.181934,128.03999299999998,11.338384,99.73436,11.030819000000001,16.030770999999998,276.864258,33.214233,10.43,28.852642,24.205204000000002,63.990002000000004,36.486121999999995,34.819117999999996,104.336075,10.644406,12.828739,38.700001,25.793007,
2010-03-25,21.918884,134.729996,11.599326,99.572189,11.166584,16.077129,279.621338,34.867084999999996,10.38,29.108395,24.499095999999998,62.650002,35.602188,34.594151000000004,104.91244499999999,10.740387,12.874689,37.66,25.564487,
2010-03-26,22.329893,135.059998,11.55303,99.512428,11.209012,16.077129,279.526947,34.569571999999994,10.49,28.881059999999998,24.213362,62.560001,34.613246999999994,35.327358000000004,104.928673,10.6732,12.724302999999999,38.220001,25.380676,
2010-03-29,22.473988000000002,135.119995,11.481482000000002,100.14411199999999,11.293861,16.281109,279.407715,34.511715,10.63,29.032615999999997,24.156223,62.619999,34.980824,35.244045,104.384766,10.6732,12.594807000000001,38.43,25.405516,
